,join_col,VTD
2079,Forest Hills 2,8083
2083,7 City Justice Center,7857
2085,3 Court House,7859
2086,Cordova 4,8077
2087,Cordova 5,8078
2089,Forest Hills 1,8082
2090,Forest Hills 3,8084
2091,Ross Store 14,8267
2092,Ross Store 16,8269
2096,Catons Chapel 2,7972
2097,Pittman Center 1,7951
2098,Jones Cove 1,7952
2099,Caton's Chapel 1,7953
2100,Harrisburg 2,7954
2101,New Center 1,7955
2102,Gatlinburg 2,7956
2103,Pigeon Forge 2,7957
2104,Wearwood 2,7958
2105,Waldens Creek 2,7959
2106,DuPont 2,7960
2107,Whites 2,7961
2111,Ross Store 05,8265
2112,Ross Store 15,8268
2117,Senior Citizens 2,7962
2118,Middle School 2,7963
2119,Voting Machine Whse. 2,7964
2120,Seymour Primary Sch. 2,7965
2121,Catlettsburg 2,7966
2122,Boyd's Creek 2,7967
2123,Seymour Intm.Sch. 2,7968
2124,Kodak 1,7969
2133,Underwood 1,7970
2134,Jones Cove 2,7971
2135,Kodak 2,7974
2136,Catlettsburg 1,7973
2138,Lucy 3,8099
2139,Lucy 1,8098
2140,McConnells,8100
2144,Collierville 8,8075
2145,Collierville 9,8271
2146,Collierville 1,8068
2147,Collierville 3,8070
2159,Collierville 5,8072
2160,Collierville 7,8074
2161,Collierville 2,8069
2172,Memphis 62-0,8172
2175,Ross Store 13,8266
2180,4-1 Family Life Center,8402
2181,6-1 County Library,8406
2197,6-2 Brentwood Safety Center,9720
2198,4-1 Prairie Life Fitness Center,9712
2199,4-2 Millview Church of Christ,9713
2205,20  Visitor's Center,9327
2208,4-3 Franklin Christian Church,9714
2209,5-2 Nolensville Methodist Church,9716
2210,17 Towne Acres,9330
2211,9 Boones Creek City,9334
2212,3 Gray East,9335
2213,8 Boones Creek West,9336
2214,4 Gray City,9337
2215,7 Gray West,9338
2216,6 Sulphur Springs,9339
2217,2 Harmony,9340
2218,34 New Victory Church,9316
2219,32 Cherokee Outside,9301
2230,1 Fall Branch,9312
2234,25 Millennium Centre,9318
2235,5 Boones Creek East,9332
2236,30 Grace Fellowship Church,9317
2239,5 Lutts,9405
2240,3 Eagle Creek Fire Hall,9408
2241,4 Shawnatee,9403
2242,6 Southgate Fire Hall,9412
2243,7 Buffalo River Fire Dept.,9410
2244,7 Ovilla Fire Hall,9407
2245,1 Waynesboro City,9404
2246,5 Wayne Co. High School,9414
2247,3 Crazy Horse,9409
2248,5 Big Cypress,9413
2250,3 Beech Creek Fire Hall,9402
2251,4 Collinwood City,9411
