join_col,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y
32-1,353,1794,4,34
2B Airport,364,123,0,9
4,365,69,1,7
3A University,365,294,2,38
Arp 6,367,104,3,8
01-2 West Loretto,367,151,3,14
Memphis 88-3,367,1514,8,35
Community Center 1-1,369,94,0,5
16-1 Rotary Park,369,144,0,13
New Hope,370,100,2,10
18-4,360,1406,4,69
06-2 West Point,371,97,0,11
2-1 Jacks Creek,372,66,0,5
Fall Creek Falls,372,91,0,2
166 Summit 2,372,214,2,33
3A Trade,373,79,1,7
10-2 Centertown CIC,373,109,1,8
32-3,363,1078,2,48
C1- Tatumville,375,47,0,6
Calhoun,375,117,1,12
5-2 Habersham,376,53,0,9
8-2 South Lincoln,376,84,1,4
2-Sep,370,103,2,5
2-3 Petersburg,378,58,0,5
1-3 Taft,378,68,2,15
7-3 Kelso,378,76,0,3
1-Apr,378,83,3,6
5-1 Mall,378,226,1,10
Moscow,378,502,0,7
2-1 Cold Springs,379,98,0,9
7-12 Sardis,380,19,0,8
1-2 Enville,380,82,0,7
3 Courthouse,380,109,0,9
Memphis 16-3,380,1329,0,53
2-3 Sandlick,381,77,0,10
11,381,85,2,13
Braden,381,477,2,7
12 Princeton,383,94,1,8
1-Jun,383,120,1,9
6-1 City Hall,383,169,0,12
Toone,383,212,1,6
Paint Rock,384,68,2,16
2,384,70,0,4
6 Crab Orchard,384,72,2,6
3 Ducktown,384,88,0,10
3-1 City Hall,384,126,0,11
20-2,374,759,3,99
7 Rinnie,385,41,0,4
Central,385,55,0,11
2-Nov,385,58,2,12
3-3 West LaFollette,385,113,3,8
12-1 Northside,385,122,2,9
17-4,375,1316,2,102
Cocke County High,387,78,1,6
6A Trinity,388,338,1,22
2-2 Robbins,389,61,0,8
2-3 Monroe,390,88,1,1
1-Feb,390,88,1,14
College Hill 3-1,391,1288,2,18
Walnut Grove 7-2,392,58,1,6
3-1 Cedar Grove,375,80,0,3
Monteagle,393,137,1,8
4-1 Woodland Park,394,70,1,9
Courthouse,395,101,0,9
16-1 Yorkville,396,78,0,1
5-Jul,386,829,0,61
Bridgeport,397,71,1,10
Glen Alice,397,95,3,9
2 Forge/Shouns,398,77,1,7
Fishery,399,84,0,6
8B Barkers Mill,402,618,1,49
6,403,89,0,9
8G Upperman,403,108,1,11
Memphis 81-5,403,1307,4,30
12-2 Henryville,404,71,2,9
3-1 Westwood,404,168,2,22
2-2 Woodland Park,405,126,3,9
Monteagle,407,198,0,17
Memphis 62,407,553,6,8
4-1 Grove,408,358,3,16
31 Chilhowee,408,615,0,41
7 Bulls Gap Outside,409,58,0,11
24-3,398,683,0,57
39 New Salem,410,85,1,3
4-Apr,411,310,1,27
8-4 East Union,412,176,1,9
Norris,412,365,3,34
14 Milan 1stAssembly,413,216,3,11
8-1 Beech Bluff,414,98,2,6
4-1 Pikeville,414,198,1,9
48 Pond Gap,414,518,1,67
Emory Heights,416,89,3,11
Armory,419,93,2,7
6 Daus,419,93,0,13
30-4,408,770,2,34
Garnett,420,197,1,7
Hickory Valley,420,297,1,8
21A Cumberland,420,582,6,33
7-11 Reagan,421,45,0,1
8D Boma,421,101,1,10
Memphis 20-1,421,1585,3,88
Olivet 1-2,422,72,0,4
12,422,115,1,4
1-Jul,423,77,1,6
21-4,412,932,2,121
06 Carthage,425,235,2,9
Bolivar,426,701,4,10
11-5 Skullbone,427,48,0,6
8,427,84,0,11
24-5,416,943,0,78
Long Creek,428,77,1,11
2 Hermitage Springs,429,89,0,14
6-2 Obion Sr Ctr,429,104,0,4
5 Rogersville No In,430,110,1,15
7-1 Catlettsburg,431,64,0,7
13-2 Grace Baptist,434,72,1,11
03-1 SE Lawrence,434,100,0,8
26-4,423,339,0,61
1-Mar,435,78,1,6
7 Justice Center,436,126,1,9
1-Feb,437,97,3,7
High School 2-1,437,168,1,10
Cedar Grove,438,103,1,5
3-2 Courthouse,438,140,0,9
Bruceton,438,142,1,11
1-Oct,438,450,0,8
Temple Hill,440,86,0,3
1-Sep,429,1117,1,49
Memphis 44-5,440,1190,4,47
8-1 Parsons,441,89,0,4
11-4 Union Central,442,58,1,7
1-3 Buchanan,442,69,0,7
Siam,442,73,1,9
77 Ramsey,442,191,0,18
Atwood,442,194,2,8
4-1 Decaturville,443,154,0,10
Lucy 03,443,520,2,25
Central,444,142,1,15
5-1 Bellview,445,54,2,11
78 Riverdale,445,97,4,15
Rockwood Ward 1,445,170,4,22
4B Butler,447,51,0,10
Emory,447,112,0,7
TCAT,447,228,0,12
8-1 Rogers Mill,448,60,1,5
1-Apr,448,74,2,7
6 Alum Well,450,60,0,7
4A Dry Run,451,73,1,8
4-Jan,451,130,2,19
2-Apr,439,701,4,72
15-4,440,520,2,54
Clinton Middle,453,87,1,9
Midtown,453,133,3,15
Limestone Cove,454,115,1,11
Lafayette,455,104,0,4
7 Hardison,455,334,3,17
McConnell's,455,827,3,13
18-3,443,1809,2,135
1-1 Dunbar,456,133,0,11
093 Concord 2,457,353,3,35
5 Motlow College,458,108,1,12
186 Middle Valley 2,458,108,1,28
3-2 Smartt,458,161,1,21
6-1 Alto/Oak Grove,458,176,2,6
1-2 Beaver,458,178,0,8
6B Bethel,459,110,0,11
3-2 Rigsby,461,61,1,11
I1- Community Center,461,185,0,14
1-May,461,201,0,8
34 Fountain City Library,465,445,3,51
042 Riverview,465,589,1,83
Del Rio,466,84,0,10
Trezevant,466,138,1,15
1-May,467,90,1,7
Pine Haven,467,97,4,9
Bethel Springs 1-1,468,137,0,5
4B Monterey City,469,185,3,10
28 South Side,469,565,2,53
7-3 Brushy,470,137,2,5
3A Copper Basin,471,77,1,10
012 Concord 1,471,284,1,39
187 Falling Water,472,124,0,30
4-3 Liberty,473,80,0,7
4 Lynchburg,473,97,3,17
3B Turtletown,473,108,1,10
Altamont,473,131,0,16
21-2,465,125,0,15
05-1 Leoma,475,82,1,5
Senior Citizens,475,245,2,9
8-1 Decherd,475,271,0,15
20-1,467,432,3,23
1 Dentons Cross Road,478,100,0,5
1-Jun,478,281,1,3
2-2 Airport,479,118,2,8
Midway,480,39,0,6
031 Missionary Ridge,481,556,3,60
9-1 Pocahontas,482,102,1,10
5A Smith,482,477,5,32
10,483,88,1,10
Edgemont,483,94,1,8
5-1 Big Spring Union,484,72,0,9
2 Cagle,486,87,2,16
1-1 Indian Mound,468,151,1,19
West End,487,124,0,9
7-2 Ovilla,488,65,2,2
6 Ozone-Pineview,488,116,0,11
08-2 HATS,480,134,4,6
6-1 East Side,490,374,4,24
Rose Creek 4-2,491,79,1,8
36 West View,491,84,1,14
1-Apr,491,242,1,17
3-4 MLEC,492,341,3,26
22-4,479,567,5,58
140 Harrison 4,493,159,0,21
21-1,484,189,1,18
007 Brainerd Hills,493,581,1,58
3-2 Kenton,494,94,0,6
Paw Paw,494,94,0,13
8,495,98,0,22
07-2 Stroudsville,488,112,3,11
Robertsville,496,434,7,46
4-4 Ridgewood,497,132,4,16
3-1 Bumpus Mills,479,129,1,22
4-Nov,484,518,1,42
6-2 Lusk,499,168,1,9
31-2,486,1007,2,71
8-2 Vanbebber Sprngs,500,105,1,10
4-2 City Hall,501,438,1,22
Forest Hill,503,81,3,6
19 Leesburg,504,125,1,12
Marlow,505,111,3,13
4-1 Collinwood,506,74,1,5
13-1 Blanton's Chapel,506,125,0,14
3 Moore County Bldg,507,101,1,16
1-2 Demory,507,109,1,13
