G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,join_col
354,62,0,1,10-1 Spring Creek Fire Station #75683
354,79,0,8,Molino5351
354,94,2,12,9-1 Graysville7361
354,104,2,4,18 Kenton2772
354,426,3,9,04 Chamber Basement3902
355,38,0,5,6 Rhodes3712
355,568,1,21,East Lake3395
356,49,0,4,3 Crazy Horse9409
356,71,1,1,6 Cerro Gordo3706
356,512,3,26,174876
357,66,0,3,5-5 SAMBURG6755
357,193,2,12,1-15254
357,1387,4,99,6-41829
358,68,0,8,14 Brazil2761
358,92,0,14,Howell5355
358,198,0,73,Collegedale 23349
358,770,6,71,494834
359,78,1,3,9-1 Ethridge5173
359,102,2,10,1 Courthouse6554
360,63,0,8,7 Stantonville6163
361,68,2,9,2-2 Goin1205
361,76,0,12,04 Gibson2753
361,102,0,9,Soddy Daisy 33333
362,39,0,1,5 Big Cypress9413
362,70,1,6,Flag Pond8908
362,91,1,7,6-2 South Elementary School5662
362,1842,4,35,32-11944
364,123,0,9,2B Airport2852
365,69,1,7,41601
365,294,2,38,03A University7256
367,104,3,8,Arp5055
367,151,3,14,1-2 West Loretto5154
367,1514,8,35,Memphis 88-38233
369,94,0,5,Community Center7054
369,144,0,13,16-1 Rotary Park5166
370,100,2,10,New Hope5758
370,1444,4,71,18-41888
371,97,0,11,6-2 West Point5156
372,66,0,5,2-1 Jacks Creek1107
372,91,0,2,Fall Creek Falls Comm. Center9103
372,214,2,33,Summit 23383
373,79,1,7,3A Trade4710
373,109,1,8,10-2 Centertown Comm. Ctr.9217
373,1107,2,49,32-31946
375,47,0,6,C-Tatumville2354
375,117,1,12,07 Calhoun School6062
376,53,0,9,Habersham0618
376,84,1,4,South Lincoln5370
377,106,2,5,9-29812
378,58,0,5,Petersburg5356
378,68,2,15,Taft Baptist Church5353
378,76,0,3,Kelso Cumberland Presbyterian Church5368
378,83,3,6,4-1 Thorn Hill Comm. Blg.2956
378,226,1,10,05-1 Three Star Mall9207
378,502,0,7,13 Moscow2457
379,98,0,9,Cold Springs0303
380,19,0,8,7-4 Sardis4015
380,82,0,7,1-2 Enville1108
380,109,0,9,3 Court House7859
380,1329,0,53,Memphis 16-38106
381,77,0,10,2-3 Sandlick1211
381,85,2,13,111606
381,477,2,7,4 Braden2462
383,94,1,8,12 Princeton9326
383,120,1,9,6-15256
383,169,0,12,6-1 City Hall1106
383,212,1,6,Toone3608
384,68,2,16,Paint Rock7473
384,70,0,4,21603
384,72,2,6,Crab Orchard Town Hall1706
384,88,0,10,3 Ducktown Courthouse7154
384,126,0,11,3 City Hall6254
384,780,3,101,20-21897
385,41,0,4,Rinnie1720
385,55,0,11,03 Central High School6065
385,58,2,12,11-23266
385,113,3,8,West LaFollette0603
385,122,2,9,12-1 Northside Baptist Church9220
385,1352,2,104,17-41881
387,78,1,6,Cocke County High School1402
388,338,1,22,06 Martin Trinity Presbyterian Church9510
389,61,0,8,2-2 Robbins7751
390,88,1,1,2 Monroe6854
390,88,1,14,2-1 Bean Station Ele. School2957
391,1288,2,18,College Hill5963
392,58,1,6,7 Walnut Grove3715
393,86,0,3,3-2 Cedar Grove Community Cen.9004
393,137,1,8,Monteagle3161
394,70,1,9,"4-1 Woodland Park School, County9605"
395,101,0,9,Courthouse2554
396,78,0,1,17 Yorkville2771
396,851,0,62,7-51835
397,71,1,10,Bridgeport1417
397,95,3,9,Glen Alice7470
398,77,1,7,2 Forge/Shouns4701
399,84,0,6,Fishery8905
402,618,1,49,8B6480
403,89,0,9,61612
403,108,1,11,08G Upperman7271
403,1307,4,30,Memphis 81-58221
404,71,2,9,12-2 Henryville Community Club5162
404,168,2,22,03-1 Westwood Church of Christ9204
405,126,3,9,"2-2 Woodland Park School, County9610"
407,198,0,17,Monteagle5757
407,553,6,8,Memphis 62-08172
408,358,3,16,4-1 Grove4110
408,615,0,41,314870
409,58,0,11,7 Bulls Gap Outside3822
409,701,0,58,24-31914
410,85,1,3,39 New Salem9302
411,310,1,27,4-5 Bud's Tire7700
412,176,1,9,8-4 East Union Ruritan Center5664
412,365,3,34,Norris0018
413,216,3,11,30 Milan Assembly/God2769
414,98,2,6,8-1 Beech Bluff Baptist Church5666
414,198,1,9,Pikeville0311
414,518,1,67,484801
416,89,3,11,Emory Heights7460
419,93,2,7,Armory1411
419,93,0,13,6 Daus7854
419,791,2,35,30-41939
420,197,1,7,3 Garnett2464
420,297,1,8,Hickory Valley3602
420,582,6,33,21A6474
421,45,0,1,7-2 Reagan4010
421,101,1,10,08D Boma7272
421,1585,3,88,Memphis 20-18109
422,72,0,4,1 Olivet3707
422,115,1,4,121607
423,77,1,6,7-15257
423,957,2,124,21-41902
425,235,2,9,06 Carthage8305
426,701,4,10,Bolivar3601
427,48,0,6,27 Skullbone2766
427,84,0,11,81611
427,968,0,80,24-51916
428,77,1,11,Long Creek1401
429,89,0,14,2 Hermitage Springs1307
429,104,0,4,6-2 OBION6758
430,110,1,15,5 Rogersville North Inside3814
431,64,0,7,Catlettsburg 17973
434,72,1,11,13-2 Grace Baptist Center1513
434,100,0,8,3-1 South East Lawrence5153
434,348,0,62,26-41925
435,78,1,6,3-15253
436,126,1,9,7 City Justice Center7857
437,97,3,7,2-15251
437,168,1,10,High School7051
438,103,1,5,5 Cedar Grove0804
438,140,0,9,3 Courthouse6252
438,142,1,11,12 Bruceton0803
438,450,0,8,10 Haywood Junior High3905
440,86,0,3,Temple Hill8903
440,1147,1,50,9-11841
440,1190,4,47,Memphis 44-58136
441,89,0,4,8th Parsons2058
442,58,1,7,26 Union Central2765
442,69,0,7,1-3 Buchanan4107
442,73,1,9,Siam0909
442,191,0,18,774821
442,194,2,8,16 Atwood0817
443,154,0,10,4th Decaturville2052
443,520,2,25,Lucy 38099
444,142,1,15,Central1416
445,54,2,11,Bellview0301
445,97,4,15,784819
445,170,4,22,Rockwood Ward 17471
447,51,0,10,4B Butler4702
447,112,0,7,Emory7461
447,228,0,12,10 Tennessee College of Applied Technology6056
448,60,1,5,8-1 Rogers Mill1217
448,74,2,7,4-15252
450,60,0,7,6 Alumwell3812
451,73,1,8,4A Dry Run4709
451,130,2,19,1-4 Burwood Community Center9704
451,720,4,74,4-21818
452,534,2,55,15-41871
453,87,1,9,Clinton Middle School0007
453,133,3,15,Midtown7463
454,115,1,11,Limestone Cove8907
455,104,0,4,Lafayette Elementary School5560
455,334,3,17,Hardison School5857
455,827,3,13,McConnells8100
455,1858,2,138,18-31887
456,133,0,11,Dunbar2054
457,353,3,35,Concord 23304
458,108,1,12,5 Motlow College6555
458,108,1,28,Middle Valley 23417
458,161,1,21,03-2 Smartt First Baptist Church9205
458,176,2,6,6-1 Alto/Oak Grove2662
458,178,0,8,1-2 Beaver4002
459,110,0,11,6B6473
