,NAME,VTD,G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,G16PRESKen_x,G16PREISmi_x,G16PREGSte_x,G16PREOth_x,geometry,county,join_col,County,Precinct,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y,G16PRESKen_y,G16PREISmi_y,G16PREGSte_y,G16PREOth_y,_merge
2604,,,,,,,,,,,,,3-2 Jacksboro Sta,Campbell,3-2 Jacksboro Sta,1054.0,207.0,3.0,30.0,1.0,3.0,2.0,1.0,right_only
2605,,,,,,,,,,,,,3-3 West LaFollette,Campbell,3-3 West LaFollette,385.0,113.0,3.0,8.0,3.0,1.0,3.0,0.0,right_only
2606,,,,,,,,,,,,,4-1 Caryville,Campbell,4-1 Caryville,928.0,199.0,2.0,32.0,5.0,5.0,1.0,2.0,right_only
2607,,,,,,,,,,,,,4-2 Clinchmore,Campbell,4-2 Clinchmore,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only
2608,,,,,,,,,,,,,4-3 Jacksboro,Campbell,4-3 Jacksboro,836.0,168.0,4.0,27.0,1.0,5.0,2.0,1.0,right_only
2609,,,,,,,,,,,,,4-4 Ridgewood,Campbell,4-4 Ridgewood,497.0,132.0,4.0,16.0,1.0,4.0,3.0,1.0,right_only
2610,,,,,,,,,,,,,5-1 Elk Valley,Campbell,5-1 Elk Valley,227.0,25.0,0.0,4.0,0.0,2.0,3.0,3.0,right_only
2611,,,,,,,,,,,,,5-2 Habersham,Campbell,5-2 Habersham,376.0,53.0,0.0,9.0,2.0,1.0,0.0,0.0,right_only
2612,,,,,,,,,,,,,5-3 Jellico,Campbell,5-3 Jellico,610.0,215.0,1.0,16.0,2.0,0.0,4.0,1.0,right_only
2613,,,,,,,,,,,,,5-4 Newcomb,Campbell,5-4 Newcomb,267.0,71.0,0.0,8.0,0.0,0.0,3.0,1.0,right_only
2614,,,,,,,,,,,,,5-5 White Oak,Campbell,5-5 White Oak,149.0,44.0,1.0,2.0,3.0,1.0,1.0,0.0,right_only
2615,,,,,,,,,,,,,1-1 Westside,Cannon,1-1 Westside,1003.0,231.0,0.0,25.0,2.0,4.0,3.0,2.0,right_only
2616,,,,,,,,,,,,,2-1 Auburntown,Cannon,2-1 Auburntown,302.0,88.0,0.0,5.0,0.0,0.0,2.0,0.0,right_only
2617,,,,,,,,,,,,,2-2 Gassaway,Cannon,2-2 Gassaway,144.0,67.0,0.0,3.0,0.0,1.0,3.0,0.0,right_only
2618,,,,,,,,,,,,,2-3 Pleasant Ridge,Cannon,2-3 Pleasant Ridge,218.0,66.0,0.0,9.0,0.0,0.0,4.0,0.0,right_only
2619,,,,,,,,,,,,,2-4 Short Mountain,Cannon,2-4 Short Mountain,157.0,63.0,2.0,3.0,0.0,1.0,6.0,0.0,right_only
2620,,,,,,,,,,,,,3-2 Woodland,Cannon,3-2 Woodland,797.0,153.0,2.0,23.0,1.0,3.0,5.0,3.0,right_only
2621,,,,,,,,,,,,,4-1 Eastside,Cannon,4-1 Eastside,667.0,160.0,1.0,10.0,1.0,5.0,2.0,1.0,right_only
2622,,,,,,,,,,,,,4-2 Short Mountain,Cannon,4-2 Short Mountain,205.0,59.0,0.0,8.0,1.0,0.0,0.0,0.0,right_only
2623,,,,,,,,,,,,,5-1 Woodbury,Cannon,5-1 Woodbury,514.0,240.0,3.0,20.0,2.0,4.0,4.0,0.0,right_only
2624,,,,,,,,,,,,,Lavinia,Carroll,Lavinia,280.0,42.0,0.0,6.0,1.0,0.0,0.0,0.0,right_only
2625,,,,,,,,,,,,,Trezevant,Carroll,Trezevant,466.0,138.0,1.0,15.0,1.0,1.0,1.0,0.0,right_only
2626,,,,,,,,,,,,,McLemoresville,Carroll,McLemoresville,270.0,82.0,2.0,8.0,0.0,1.0,3.0,0.0,right_only
2627,,,,,,,,,,,,,Cedar Grove,Carroll,Cedar Grove,438.0,103.0,1.0,5.0,4.0,3.0,1.0,1.0,right_only
2628,,,,,,,,,,,,,Cedar Grove,Van Buren,Cedar Grove,244.0,76.0,0.0,7.0,0.0,0.0,2.0,0.0,right_only
2629,,,,,,,,,,,,,Clarksburg,Carroll,Clarksburg,591.0,85.0,0.0,9.0,2.0,1.0,5.0,2.0,right_only
2630,,,,,,,,,,,,,Macedonia,Carroll,Macedonia,146.0,27.0,0.0,6.0,0.0,0.0,1.0,0.0,right_only
2631,,,,,,,,,,,,,Civic Center,Carroll,Civic Center,1182.0,400.0,3.0,36.0,4.0,0.0,4.0,3.0,right_only
2632,,,,,,,,,,,,,Huntingdon,Carroll,Huntingdon,836.0,230.0,3.0,19.0,2.0,5.0,2.0,3.0,right_only
2633,,,,,,,,,,,,,Buena Vista,Carroll,Buena Vista,115.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,right_only
2634,,,,,,,,,,,,,Bruceton,Carroll,Bruceton,438.0,142.0,1.0,11.0,1.0,0.0,2.0,0.0,right_only
2635,,,,,,,,,,,,,Hollow Rock,Carroll,Hollow Rock,327.0,107.0,0.0,6.0,1.0,0.0,3.0,0.0,right_only
2636,,,,,,,,,,,,,Vale,Carroll,Vale,90.0,18.0,0.0,5.0,0.0,0.0,1.0,0.0,right_only
2637,,,,,,,,,,,,,Atwood,Carroll,Atwood,442.0,194.0,2.0,8.0,1.0,1.0,4.0,1.0,right_only
2638,,,,,,,,,,,,,Senior Citizens,Carroll,Senior Citizens,475.0,245.0,2.0,9.0,1.0,1.0,5.0,3.0,right_only
2639,,,,,,,,,,,,,Cannon,Carroll,Cannon,244.0,60.0,3.0,2.0,1.0,1.0,0.0,2.0,right_only
2640,,,,,,,,,,,,,Concord,Carroll,Concord,210.0,89.0,1.0,4.0,0.0,2.0,2.0,0.0,right_only
2641,,,,,,,,,,,,,Westport,Carroll,Westport,115.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,right_only
2642,,,,,,,,,,,,,Bethel College,Carroll,Bethel College,807.0,208.0,2.0,25.0,1.0,2.0,3.0,6.0,right_only
2643,,,,,,,,,,,,,McKenzie,Carroll,McKenzie,284.0,106.0,0.0,5.0,0.0,0.0,2.0,0.0,right_only
2644,,,,,,,,,,,,,National Guard,Carter,National Guard,74.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,right_only
2645,,,,,,,,,,,,,1-1 County Library,Cheatham,1-1 County Library,1444.0,670.0,4.0,80.0,1.0,12.0,11.0,15.0,right_only
2646,,,,,,,,,,,,,2-2 East Cheatham,Cheatham,2-2 East Cheatham,1987.0,524.0,6.0,61.0,1.0,7.0,10.0,16.0,right_only
2647,,,,,,,,,,,,,3-1 Pleasant View,Cheatham,3-1 Pleasant View,2138.0,542.0,2.0,98.0,0.0,9.0,13.0,9.0,right_only
2648,,,,,,,,,,,,,4-1 West Cheatham,Cheatham,4-1 West Cheatham,1134.0,307.0,2.0,41.0,1.0,7.0,7.0,4.0,right_only
2649,,,,,,,,,,,,,4-3 Sycamore,Cheatham,4-3 Sycamore,848.0,230.0,2.0,32.0,1.0,0.0,6.0,1.0,right_only
2650,,,,,,,,,,,,,5-1 Greenbrier,Cheatham,5-1 Greenbrier,526.0,148.0,2.0,8.0,1.0,0.0,8.0,1.0,right_only
2651,,,,,,,,,,,,,5-2 Pegram,Cheatham,5-2 Pegram,1281.0,552.0,4.0,57.0,4.0,7.0,16.0,11.0,right_only
2652,,,,,,,,,,,,,6-1 Harpeth,Cheatham,6-1 Harpeth,1939.0,905.0,4.0,86.0,4.0,8.0,28.0,41.0,right_only
2653,,,,,,,,,,,,,4-1 West Chester,Chester,4-1 West Chester,512.0,66.0,2.0,8.0,0.0,1.0,2.0,2.0,right_only
2654,,,,,,,,,,,,,4-1 West Chester - City,Chester,4-1 West Chester - City,589.0,152.0,2.0,19.0,0.0,3.0,2.0,9.0,right_only
2655,,,,,,,,,,,,,5-1 East Chester,Chester,5-1 East Chester,381.0,81.0,0.0,8.0,0.0,0.0,1.0,0.0,right_only
2656,,,,,,,,,,,,,5-1 East Chester - City,Chester,5-1 East Chester - City,325.0,249.0,0.0,16.0,0.0,0.0,0.0,5.0,right_only
2657,,,,,,,,,,,,,8-2 Vanbebber Sprngs,Claiborne,8-2 Vanbebber Sprngs,500.0,105.0,1.0,10.0,1.0,5.0,0.0,2.0,right_only
2658,,,,,,,,,,,,,1 Dentons Cross Road,Clay,1 Dentons Cross Road,478.0,100.0,0.0,5.0,0.0,3.0,2.0,0.0,right_only
2659,,,,,,,,,,,,,5-1 Beech Bethany,Clay,5-1 Beech Bethany,220.0,77.0,0.0,5.0,0.0,1.0,1.0,0.0,right_only
2660,,,,,,,,,,,,,Cocke County High,Cocke,Cocke County High,387.0,78.0,1.0,6.0,0.0,0.0,1.0,0.0,right_only
2661,,,,,,,,,,,,,Newport Grammar,Cocke,Newport Grammar,680.0,185.0,0.0,30.0,2.0,2.0,3.0,4.0,right_only
2662,,,,,,,,,,,,,1 Ada Wright CC,Coffee,1 Ada Wright CC,639.0,261.0,3.0,24.0,2.0,3.0,8.0,1.0,right_only
2663,,,,,,,,,,,,,2 St Paul,Coffee,2 St Paul,336.0,137.0,2.0,20.0,0.0,1.0,5.0,1.0,right_only
2664,,,,,,,,,,,,,3 Trinity,Coffee,3 Trinity,778.0,262.0,4.0,25.0,1.0,6.0,11.0,5.0,right_only
2665,,,,,,,,,,,,,4 First Baptist,Coffee,4 First Baptist,661.0,298.0,1.0,20.0,1.0,4.0,13.0,1.0,right_only
2666,,,,,,,,,,,,,5 Hillsboro,Coffee,5 Hillsboro,723.0,217.0,1.0,11.0,2.0,3.0,5.0,2.0,right_only
2667,,,,,,,,,,,,,6 TN Vocational Center,Coffee,6 TN Vocational Center,589.0,154.0,1.0,20.0,0.0,3.0,0.0,1.0,right_only
2668,,,,,,,,,,,,,7 Forest Mill,Coffee,7 Forest Mill,732.0,192.0,1.0,19.0,0.0,0.0,3.0,1.0,right_only
2669,,,,,,,,,,,,,8 New Union,Coffee,8 New Union,885.0,187.0,1.0,42.0,1.0,5.0,8.0,4.0,right_only
2670,,,,,,,,,,,,,9-1 Pocahontas,Coffee,9-1 Pocahontas,482.0,102.0,1.0,10.0,0.0,4.0,2.0,3.0,right_only
2671,,,,,,,,,,,,,9-2 Summitville,Coffee,9-2 Summitville,242.0,70.0,1.0,6.0,1.0,1.0,2.0,1.0,right_only
2672,,,,,,,,,,,,,10 Mt. Ararat,Coffee,10 Mt. Ararat,652.0,180.0,0.0,17.0,1.0,3.0,5.0,1.0,right_only
2673,,,,,,,,,,,,,11 Fredonia,Coffee,11 Fredonia,668.0,177.0,0.0,30.0,0.0,5.0,0.0,8.0,right_only
2674,,,,,,,,,,,,,12 North Coffee,Coffee,12 North Coffee,821.0,176.0,2.0,21.0,1.0,0.0,8.0,1.0,right_only
2675,,,,,,,,,,,,,13-1 Blanton's Chapel,Coffee,13-1 Blanton's Chapel,506.0,125.0,0.0,14.0,0.0,3.0,1.0,1.0,right_only
2676,,,,,,,,,,,,,13-2 Grace Baptist,Coffee,13-2 Grace Baptist,434.0,72.0,1.0,11.0,0.0,1.0,1.0,0.0,right_only
2677,,,,,,,,,,,,,14 Hickerson,Coffee,14 Hickerson,822.0,236.0,1.0,15.0,0.0,1.0,2.0,1.0,right_only
2678,,,,,,,,,,,,,15 Grace Baptist,Coffee,15 Grace Baptist,897.0,323.0,3.0,28.0,3.0,2.0,1.0,9.0,right_only
