vest_ID,election_ID
4 Shawnatee9403,4-2 Shawnettee
5-1 Pine Hill7760,5-1 City Park
2 Walkers3701,Walkers 2-2
Memphis 868229,Memphis 86
Nankipoo5062,Nankipoo 7
Dorton1707,3 Dorton
3-2 Old Bells Fire Station5679,3-2 Old Bells Rd #10
7-21832,2-Jul
30-21937,30-2
91604,9
Silerton3607,Silerton
05-1 Mt. Pleasant4206,5-1 Mt. Pleasant
08 Douglas Community Center3913,1-Aug
Oak Ridge City Hall0021,Oak Ridge
Memphis 58-48159,Memphis 58-4
574810,57 Hills
4-2 Butlers Landing1306,4-2 Butlers Landing
3-1 Calvary Chapel2258,1-Mar
13 Hollow Rock0815,Hollow Rock
Memphis 288114,Memphis 28
1 Finger6159,Finger 1-2
Middlesettlements0407,Middlesettlements
09 Ingleside School6055,Ingleside
64864,06 Green School
6th Parsons2056,6-1 Parsons
3-24510,2-Mar
8-15258,1-Aug
3-2 Springville4111,3-2 Springville
Red Bank 23414,077 Red Bank 2
4-1 Belvidere2656,4-1 Belvidere
4 Electric Co-op7858,4 Electric Co-op
Griffin Chapel Church4307,Griffins Chapel
Brayton0302,3-1 Brayton
31609,3
6-21827,2-Jun
Mentor0409,Mentor
05F Dry Valley7274,5F Dry Valley
6A MMC Martin Methodist College2861,6A Martin
Stewart Community Center4304,Stewart
7-41834,4-Jul
28-31931,28-3
02 Saint Paul United Methodist Church1502,2 St Paul
35-21959,35-2
12-3 LaVergne High School7699,3-Dec
35 Limestone9305,35 Limestone
Coalmont3160,Coalmont
Foster Falls5752,Foster Falls
1-1 St. Joseph5170,01-1 St. Joseph
7-61836,6-Jul
7th3507,7th
6-24503,2-Jun
12 Williston2458,Williston
Chanute7053,Chanute 3-1
11-2 Heads Free Will Baptist Church7566,11-2 Heads
Armathwaite2551,Armathwaite
Alder Springs0616,1-1 Alder Springs
2-1 Elgin7758,2-1 Elgin
Martin Luther King0411,Martin Luther King
7 Whites3709,Whites 7-1
1st3504,1st
13-11859,13-1
11602,1
Gates5052,Gates 7
Woodland0027,Woodland
10-61849,6-Oct
Whites 27961,10-2 Whites
Bakewell 13343,184 Bakewell 1
01-2 Pinewood4201,1-2 Pinewood
3-2 Fire Station #104006,3-10 Fire Sta #10
Airport3389,175 Airport
9-2 Mars Hill5159,09-2 Mars Hill
Piney Fire Hall9102,Piney
12-2 Lucky Community Center9221,12-2 Lucky
19 CD Stamps Center1519,19 CD Stamps Center
33-41951,33-4
10-1 Spring Creek Fire Station #75683,10-1 Spring Creek
Molino5351,1-2 Molino
9-1 Graysville7361,9-1 Graysville
18 Kenton2772,16-2 Kenton
04 Chamber Basement3902,1-Apr
6 Rhodes3712,Rhodes 6-2
East Lake3395,019 East Lake
3 Crazy Horse9409,3-2 Crazy Horse
6 Cerro Gordo3706,Cerro Gordo 6-1
174876,17 Christenberry
5-5 SAMBURG6755,5-5 Samburg
1-15254,1-Jan
6-41829,4-Jun
14 Brazil2761,8-2 Brazil
Howell5355,2-2 Howell
Collegedale 23349,122 Collegedale 2
494834,49 Bearden Elementary
9-1 Ethridge5173,09-1 Ethridge
1 Courthouse6554,1 Courthouse
7 Stantonville6163,Stantonville 7-2
2-2 Goin1205,2-2 Goin
04 Gibson2753,6-4 Gibson
Soddy Daisy 33333,144 Soddy Daisy 3
5 Big Cypress9413,5-1 Big Cypress
Flag Pond8908,Flag Pond
6-2 South Elementary School5662,6-2 South
32-11944,32-1
2B Airport2852,2B Airport
41601,4
03A University7256,3A University
Arp5055,Arp 6
1-2 West Loretto5154,01-2 West Loretto
Memphis 88-38233,Memphis 88-3
Community Center7054,Community Center 1-1
16-1 Rotary Park5166,16-1 Rotary Park
New Hope5758,New Hope
18-41888,18-4
6-2 West Point5156,06-2 West Point
2-1 Jacks Creek1107,2-1 Jacks Creek
Fall Creek Falls Comm. Center9103,Fall Creek Falls
Summit 23383,166 Summit 2
3A Trade4710,3A Trade
10-2 Centertown Comm. Ctr.9217,10-2 Centertown CIC
32-31946,32-3
C-Tatumville2354,C1- Tatumville
07 Calhoun School6062,Calhoun
Habersham0618,5-2 Habersham
South Lincoln5370,8-2 South Lincoln
9-29812,2-Sep
Petersburg5356,2-3 Petersburg
Taft Baptist Church5353,1-3 Taft
Kelso Cumberland Presbyterian Church5368,7-3 Kelso
4-1 Thorn Hill Comm. Blg.2956,1-Apr
05-1 Three Star Mall9207,5-1 Mall
13 Moscow2457,Moscow
Cold Springs0303,2-1 Cold Springs
7-4 Sardis4015,7-12 Sardis
1-2 Enville1108,1-2 Enville
3 Court House7859,3 Courthouse
Memphis 16-38106,Memphis 16-3
2-3 Sandlick1211,2-3 Sandlick
111606,11
4 Braden2462,Braden
12 Princeton9326,12 Princeton
6-15256,1-Jun
6-1 City Hall1106,6-1 City Hall
Toone3608,Toone
Paint Rock7473,Paint Rock
21603,2
Crab Orchard Town Hall1706,6 Crab Orchard
3 Ducktown Courthouse7154,3 Ducktown
3 City Hall6254,3-1 City Hall
20-21897,20-2
Rinnie1720,7 Rinnie
03 Central High School6065,Central
11-23266,2-Nov
West LaFollette0603,3-3 West LaFollette
12-1 Northside Baptist Church9220,12-1 Northside
17-41881,17-4
Cocke County High School1402,Cocke County High
06 Martin Trinity Presbyterian Church9510,6A Trinity
2-2 Robbins7751,2-2 Robbins
2 Monroe6854,2-3 Monroe
2-1 Bean Station Ele. School2957,1-Feb
College Hill5963,College Hill 3-1
7 Walnut Grove3715,Walnut Grove 7-2
3-2 Cedar Grove Community Cen.9004,3-1 Cedar Grove
Monteagle3161,Monteagle
"4-1 Woodland Park School, County9605",4-1 Woodland Park
Courthouse2554,Courthouse
17 Yorkville2771,16-1 Yorkville
7-51835,5-Jul
Bridgeport1417,Bridgeport
Glen Alice7470,Glen Alice
2 Forge/Shouns4701,2 Forge/Shouns
Fishery8905,Fishery
8B6480,8B Barkers Mill
61612,6
08G Upperman7271,8G Upperman
Memphis 81-58221,Memphis 81-5
12-2 Henryville Community Club5162,12-2 Henryville
03-1 Westwood Church of Christ9204,3-1 Westwood
