,COUNTY,NAME
586,42,06-1 Justice Center
587,42,07-1 Nunnelly
588,42,01-2 Pinewood
589,42,03-1 East Community Center
590,42,07-2 Pleasantville
591,42,05-1 Mt. Pleasant
879,42,02-2 Fairfield
880,42,05-3 Shady Grove
881,42,04-1 Lake Benson Camp
882,42,01-1 Nunnelly
883,42,07-3 Brushy
884,42,05-2 Middle School
592,43,Erin Elementary School
593,43,Erin City Hall
594,43,Arlington Sr. Citizens Cntr
595,43,Houston Co. Middle School
596,43,Griffin Chapel Church
597,43,Stewart Community Center
607,43,Tennessee Ridge
598,44,5-6 Wildwood
599,44,1-1 Jera Building
608,44,3-4 MLEC
609,44,2-3 WFCN
610,44,4-5 NJMC
611,44,6-7 South McEwen
612,44,7-8 North McEwen
613,44,1-2 Compassion Church
614,45,2-May
615,45,2-Jan
616,45,2-Jun
617,45,2-Apr
618,45,1-Jun
619,45,2-Feb
620,45,2-Mar
621,45,1-Apr
622,45,1-May
623,45,1-Jan
624,45,1-Mar
625,45,1-Feb
626,46,7 New Market
627,46,3 White Pine
628,46,2 Piedmont
629,46,4 Jefferson ES
634,46,10 Jeff City Fire Dept
635,46,9 Talbott School
636,46,8-2 Swannsylvania
637,46,5 Jefferson Middle
638,46,6 Rush Strong
639,46,1 Dandridge ES
640,46,8-1 Chestnut Hill
641,47,5 Doe Valley
642,47,1B Cold Springs
643,47,3B Neva
644,47,2 Forge/Shouns
645,47,4B Butler
646,47,3A Trade
647,47,6 Shady
648,47,1A Laurel
649,47,4A Dry Run
657,47,7 City
570,48,33 Richard Yoakley
571,48,74 Shannondale
572,48,61 Halls
573,48,59 Brickey
574,48,72 Dante
575,48,56 Heiskell
576,48,58S Pedigo
577,48,73 Powell
578,48,19W Thrive Lonsdale
600,48,58N Pedigo
601,48,69E Bluegrass
602,48,70E Amherst
603,48,23 Westview
630,48,69W A. L. Lotts
650,48,50S West High
651,48,09 Eternal Life Harvest
652,48,10N Fort Sanders
658,48,10W Howard Baker Center
659,48,48 Pond Gap
660,48,12 Eastport
661,48,15 John T. O'Connor
662,48,30 Sarah Moore Greene
667,48,39 Inskip Rec Center
668,48,41 Norwood
669,48,40 Norwood
670,48,80 Corryton
671,48,85 Skaggston
672,48,86 Carter
673,48,82 Ellistown
674,48,87 Thorngrove
675,48,76 Sunnyview
676,48,78 Riverdale
