,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI,COUNTYFP
237,Cocke,Edgemont,483,94.0,8.0,2.0,3.0,2.0,1.0,0.0,029
238,Cocke,Cocke County High,387,78.0,6.0,1.0,0.0,0.0,1.0,0.0,029
239,Cocke,Cosby,949,161.0,28.0,4.0,1.0,0.0,1.0,0.0,029
240,Cocke,Smoky Mountain,526,145.0,7.0,14.0,2.0,1.0,3.0,2.0,029
241,Cocke,Newport Grammar,680,185.0,30.0,3.0,2.0,2.0,0.0,4.0,029
242,Cocke,Central,444,142.0,15.0,5.0,1.0,3.0,1.0,2.0,029
243,Cocke,Northport,543,147.0,16.0,4.0,1.0,0.0,1.0,1.0,029
244,Cocke,West End,487,124.0,9.0,1.0,3.0,0.0,0.0,1.0,029
245,Coffee,1 Ada Wright CC,639,261.0,24.0,8.0,3.0,2.0,3.0,1.0,031
246,Coffee,2 St Paul,336,137.0,20.0,5.0,1.0,0.0,2.0,1.0,031
247,Coffee,3 Trinity,778,262.0,25.0,11.0,6.0,1.0,4.0,5.0,031
248,Coffee,4 First Baptist,661,298.0,20.0,13.0,4.0,1.0,1.0,1.0,031
249,Coffee,5 Hillsboro,723,217.0,11.0,5.0,3.0,2.0,1.0,2.0,031
250,Coffee,6 TN Vocational Center,589,154.0,20.0,0.0,3.0,0.0,1.0,1.0,031
251,Coffee,7 Forest Mill,732,192.0,19.0,3.0,0.0,0.0,1.0,1.0,031
252,Coffee,8 New Union,885,187.0,42.0,8.0,5.0,1.0,1.0,4.0,031
253,Coffee,9-1 Pocahontas,482,102.0,10.0,2.0,4.0,0.0,1.0,3.0,031
254,Coffee,9-2 Summitville,242,70.0,6.0,2.0,1.0,1.0,1.0,1.0,031
255,Coffee,10 Mt. Ararat,652,180.0,17.0,5.0,3.0,1.0,0.0,1.0,031
256,Coffee,11 Fredonia,668,177.0,30.0,0.0,5.0,0.0,0.0,8.0,031
257,Coffee,12 North Coffee,821,176.0,21.0,8.0,0.0,1.0,2.0,1.0,031
258,Coffee,13-1 Blanton's Chapel,506,125.0,14.0,1.0,3.0,0.0,0.0,1.0,031
259,Coffee,13-2 Grace Baptist,434,72.0,11.0,1.0,1.0,0.0,1.0,0.0,031
260,Coffee,14 Hickerson,822,236.0,15.0,2.0,1.0,0.0,1.0,1.0,031
261,Coffee,15 Grace Baptist,897,323.0,28.0,1.0,2.0,3.0,3.0,9.0,031
262,Coffee,16 Lion's Club,983,366.0,62.0,7.0,2.0,2.0,1.0,8.0,031
263,Coffee,17 National Guard Armory,285,183.0,21.0,2.0,2.0,0.0,1.0,0.0,031
264,Coffee,18 First Christian,614,233.0,32.0,3.0,4.0,2.0,1.0,1.0,031
265,Coffee,19 CD Stamps Center,353,212.0,11.0,6.0,3.0,0.0,2.0,1.0,031
266,Coffee,20 Sr Citizens Center,647,284.0,24.0,12.0,1.0,2.0,3.0,5.0,031
267,Coffee,21 Wilson Ave,668,296.0,34.0,8.0,5.0,4.0,1.0,8.0,031
268,Crockett,01,350,47.0,2.0,4.0,0.0,1.0,0.0,0.0,033
269,Crockett,02,384,70.0,4.0,1.0,2.0,0.0,0.0,0.0,033
270,Crockett,03,332,112.0,2.0,1.0,0.0,0.0,1.0,0.0,033
271,Crockett,04,365,69.0,7.0,0.0,0.0,0.0,1.0,1.0,033
272,Crockett,05,156,242.0,7.0,0.0,0.0,0.0,1.0,0.0,033
273,Crockett,06,403,89.0,9.0,1.0,1.0,0.0,0.0,4.0,033
274,Crockett,07,244,125.0,3.0,2.0,0.0,1.0,1.0,0.0,033
275,Crockett,08,427,84.0,11.0,1.0,2.0,0.0,0.0,0.0,033
276,Crockett,09,323,106.0,11.0,0.0,0.0,0.0,0.0,0.0,033
277,Crockett,10,195,159.0,3.0,1.0,0.0,1.0,0.0,0.0,033
278,Crockett,11,381,85.0,13.0,0.0,2.0,0.0,2.0,0.0,033
279,Crockett,12,422,115.0,4.0,2.0,1.0,0.0,1.0,0.0,033
280,Cumberland,1 Cornerstone,1957,524.0,53.0,11.0,6.0,3.0,4.0,5.0,035
281,Cumberland,2 Complex 2,1222,346.0,40.0,9.0,8.0,3.0,4.0,0.0,035
282,Cumberland,3 Homestead,849,201.0,29.0,4.0,2.0,0.0,0.0,1.0,035
283,Cumberland,3 Dorton,321,52.0,8.0,4.0,1.0,0.0,0.0,0.0,035
284,Cumberland,3 Linary,623,125.0,20.0,8.0,0.0,1.0,1.0,3.0,035
285,Cumberland,3 Big Lick,523,121.0,7.0,2.0,4.0,0.0,0.0,0.0,035
286,Cumberland,4 Tabor,710,110.0,16.0,4.0,1.0,2.0,1.0,0.0,035
